time,open,high,low,close,tick_volume,spread,real_volume,close_oro,ratio_eur_oro,ratio_desviacion,divergencia_retornos,oro_tendencia,ratio_volatilidad,correlacion,correlacion_ma,oro_momentum
2024-10-16 20:00:00,1.08676,1.0868,1.08527,1.08617,8428,11,0,2673.59,0.0004062590000710655,-1.6518784616087256,-0.0003409633211056695,0.006633748781625164,0.32630085608013004,0.32154674918998716,0.3709952039405781,0.005056124865608691
2024-10-17 00:00:00,1.0857,1.08705,1.08558,1.08627,4604,11,0,2677.91,0.0004056409662759391,-1.6722066509655034,-0.0015237383469501875,0.0066706517977854094,0.3486758845825699,0.3146481126033678,0.36581842260012853,0.004207463184697113
2024-10-17 04:00:00,1.08627,1.08647,1.08506,1.08527,7171,11,0,2679.07,0.0004050920655302026,-1.6543884388844345,-0.0013537550709127322,0.007006296445013558,0.35395494606893274,0.33821606571088664,0.3614498866330406,-0.0001567462464870939
2024-10-17 08:00:00,1.08527,1.0858,1.08485,1.08513,10673,11,0,2681.86,0.0004046184364582789,-1.6281704185869663,-0.001170406316243322,0.0069208713127422005,0.37116932471698755,0.3370751929655269,0.35702832923095906,4.47470672026995e-05
2024-10-17 12:00:00,1.08513,1.08735,1.0833,1.08421,16060,11,0,2680.66,0.0004044563652234897,-1.4899640669208523,-0.0004003740346778528,0.006896854523022688,0.4012758030299503,0.32000795230684664,0.3531562275304161,0.0024419156884667448
2024-10-17 16:00:00,1.08421,1.08443,1.08105,1.08242,26236,11,0,2692.18,0.000402060783454301,-1.9707964785966,-0.005948420810889643,0.0071813184203279624,0.38636460409812146,0.31814062212835226,0.34974269019670257,0.006953197760314778
2024-10-17 20:00:00,1.08242,1.08315,1.0820400000000001,1.083,8000,11,0,2692.9,0.0004021686657506777,-1.691224869429941,0.00026839511087461965,0.007372903696032235,0.4066718828832715,0.29949520058207924,0.3463012325310519,0.005597648912771591
2024-10-18 00:00:00,1.08253,1.08327,1.08239,1.08285,3747,11,0,2693.0,0.0004020980319346454,-1.5229966121328136,-0.00017563884263616103,0.007133806901548667,0.4114863107001741,0.30059751034653,0.3424357382445285,0.005199565520870975
2024-10-18 04:00:00,1.08285,1.08401,1.08269,1.08398,5985,11,0,2710.18,0.00039996605391523813,-1.8735151887621404,-0.005335959910086618,0.007386997493987599,0.3711955085236176,0.299290800854942,0.3384698732075809,0.010559835338160628
2024-10-18 08:00:00,1.08398,1.08481,1.0834,1.08374,12081,11,0,2706.26,0.00040045671886662767,-1.5607491806331155,0.0012249920951932225,0.007747615678583474,0.3629880063649913,0.30782649430599063,0.3350588393251061,0.009549886968134746
2024-10-18 12:00:00,1.08374,1.08596,1.08335,1.08587,12202,11,0,2709.57,0.0004007536251139479,-1.3558178052962742,0.0007423258904823982,0.008258226488564677,0.4120364452259772,0.3001984865611324,0.33102826710855265,0.00645944921959174
2024-10-18 16:00:00,1.08587,1.08678,1.08507,1.08661,13958,11,0,2717.61,0.0003998403008525874,-1.4697407660075306,-0.002285779279210143,0.009024477957788,0.39071169936855293,0.3014994781436071,0.32710597704781874,0.009175981284117452
2024-10-18 20:00:00,1.08661,1.0869,1.08587,1.08667,8443,11,0,2721.3,0.0003993201778561717,-1.5205252024514366,-0.0013025931200210117,0.009792486436024116,0.41188112876300437,0.3048499845072211,0.32292801000451976,0.010508726327515872
2024-10-21 00:00:00,1.08587,1.08708,1.08586,1.08644,4703,11,0,2721.68,0.00039917991828576475,-1.4152063977965381,-0.0003512949355234385,0.0103377288625585,0.4030724115919784,0.30514564883515705,0.3189069138880429,0.004243260595237164
2024-10-21 04:00:00,1.08644,1.08678,1.08578,1.08583,6602,11,0,2730.39,0.00039768311486637446,-1.6773097426059485,-0.003761696079184418,0.011298999229008613,0.3972985281453886,0.3050817903910506,0.31594057762956373,0.0089163642813328
2024-10-21 08:00:00,1.08583,1.08628,1.08457,1.08547,10267,11,0,2731.33,0.00039741444644184336,-1.6095112411113581,-0.0006758167742415555,0.011854343976226336,0.4044843655474883,0.29648707372511723,0.3126298764395307,0.00803079455411737
2024-10-21 12:00:00,1.08547,1.08586,1.08442,1.0857,10619,11,0,2738.63,0.0003964390954601389,-1.7242385810853402,-0.002460800813495867,0.012461469214173758,0.4014988143221788,0.3165398387020328,0.3117950539431714,0.007734737508325429
2024-10-21 16:00:00,1.0857,1.08576,1.08165,1.08182,14528,11,0,2723.53,0.0003972124412068161,-1.3411718974922135,0.0019399745246826416,0.012656054579002653,0.4623228627571533,0.3163118904582807,0.3115750274331558,0.0008194612868850371
2024-10-21 20:00:00,1.08182,1.08226,1.08106,1.0814,8787,11,0,2719.67,0.000397621770288307,-1.107727465321703,0.0010290436699804673,0.012110888111550946,0.4472711661643679,0.3433778888805509,0.3130557681721559,-0.0007385144469591598
2024-10-22 00:00:00,1.08125,1.08184,1.08108,1.08156,3251,11,0,2724.76,0.00039693771194527225,-1.211070712369549,-0.0017235942396589543,0.01183800569048445,0.4475750801843146,0.34318166908963665,0.3144759225144148,-0.002061976494200368
2024-10-22 04:00:00,1.08156,1.08208,1.0814300000000001,1.082,6298,11,0,2734.73,0.00039565149027509115,-1.4893326899594246,-0.0032522180813769896,0.011641105453563323,0.4400864187846299,0.33734308505891614,0.31526573930786117,0.001244814797186855
2024-10-22 08:00:00,1.082,1.08376,1.08174,1.08263,10739,11,0,2734.95,0.0003958500155395894,-1.3214447133521903,0.0005018083846020094,0.011270870466417376,0.4434910229234986,0.33430373644851374,0.31624852050011854,-0.0013437375622118441
2024-10-22 12:00:00,1.08263,1.08302,1.08106,1.08113,11978,11,0,2736.23,0.0003951166385866685,-1.4561851865955966,-0.0018535307721851968,0.010726168335499803,0.4520426285569902,0.2865259519846745,0.3136640148138079,0.0046630659475019876
2024-10-22 16:00:00,1.08113,1.08181,1.08004,1.08069,16892,11,0,2745.28,0.0003936538349457978,-1.8008708179569881,-0.003714452081812092,0.010559404681333158,0.4435793825588022,0.27816887758384845,0.31071869904472404,0.009416583629631603
2024-10-22 20:00:00,1.08072,1.08083,1.07919,1.07981,6565,11,0,2748.8,0.0003928295983701979,-1.9240139246482402,-0.0020964952937559955,0.010167356708962605,0.4482090858091779,0.27580795994366647,0.308508699426565,0.008822795402163797
2024-10-23 00:00:00,1.07968,1.08001,1.07913,1.07948,3270,11,0,2745.24,0.00039321880782736666,-1.596635833088942,0.0009895012735556818,0.009623079444482069,0.4354679597059586,0.2723290383506095,0.30621812023767786,0.0038431581911193557
2024-10-23 04:00:00,1.07948,1.08049,1.0793,1.08015,7169,11,0,2749.96,0.00039278753145500296,-1.5873260865442083,-0.0010986704459048369,0.00900750190857191,0.436769775409787,0.3016532387929895,0.30632602214822335,0.00548821733486915
2024-10-23 08:00:00,1.08015,1.08059,1.07788,1.07878,11883,11,0,2756.85,0.0003913089214139326,-1.893562448421405,-0.0037738333488169795,0.009276470427152262,0.4471439352001307,0.294332145123278,0.3060127538870608,0.007535916205874571
2024-10-23 12:00:00,1.07878,1.0789,1.07606,1.07739,13668,11,0,2743.27,0.0003927393220499623,-1.2521292515488955,0.0036374192632429025,0.009383215175509095,0.43478168106995235,0.29537549456603907,0.30581698857261563,-0.0007321657535843684
2024-10-23 16:00:00,1.07739,1.07857,1.0769,1.07724,16223,11,0,2719.44,0.0003961256729326626,0.015519940238654268,0.008547487951856336,0.008626598478332779,0.3381717823821346,0.3003620799302963,0.30544376785383087,-0.01068102444703145
2024-10-23 20:00:00,1.07724,1.07861,1.07666,1.07817,11098,11,0,2715.36,0.0003970633728124448,0.47504702534111487,0.0023636262537275465,0.007397901023012237,0.3073414886185419,0.28323177732756405,0.30459543239215253,-0.010884294269353334
2024-10-24 00:00:00,1.07791,1.07894,1.07789,1.07884,4388,11,0,2721.07,0.000396476386127516,0.32756713087231654,-0.0014814285861777243,0.006355101624781115,0.3096105344848513,0.2744233545478781,0.30324162621236606,-0.010505607354288737
2024-10-24 04:00:00,1.07884,1.07932,1.07804,1.07924,7396,11,0,2726.54,0.00039582767903643447,0.12820234749560608,-0.0016394700160520248,0.005414258747939896,0.31085902532607257,0.30789908931346344,0.30339408145267815,-0.010994432051072756
2024-10-24 08:00:00,1.07924,1.08078,1.07699,1.08028,16285,11,0,2736.77,0.0003947280918747282,-0.31285217609571253,-0.0027883669587327464,0.004426382394118079,0.3138218441282033,0.3300275581486611,0.3046381769183534,-0.0023694350173333323
2024-10-24 12:00:00,1.08027,1.08047,1.07881,1.07961,15254,11,0,2739.0,0.0003941621029572837,-0.5321643748424645,-0.001435038735217442,0.0033504315138637433,0.320550405499602,0.36414911240018266,0.30759154301881,0.007192657311799522
2024-10-24 16:00:00,1.07961,1.08109,1.07947,1.08101,18899,11,0,2733.61,0.000395451436013184,0.2177348775403157,0.0032646360583357126,0.0024160460654562036,0.3346845430885977,0.37258866659609197,0.3113966226623587,0.006721024099935136
2024-10-24 20:00:00,1.08101,1.08295,1.08099,1.08274,9315,11,0,2735.81,0.00039576578782883317,0.41623040709653625,0.0007955586356935829,0.001372161656619473,0.3610468456498002,0.35995595723482643,0.31356742858899833,0.005416986700084836
2024-10-25 00:00:00,1.08256,1.08283,1.08197,1.08215,4261,11,0,2732.45,0.0003960365239986093,0.6219250998930992,0.0006832416342842373,-3.7846292047210395e-06,0.2873803133757393,0.35822402545415094,0.3156630353387919,0.002167582357126552
2024-10-25 04:00:00,1.08215,1.08273,1.08194,1.08212,6454,11,0,2725.87,0.00039698151415878236,1.2236435449066856,0.0023803727098007377,-0.0008324589666084619,0.2823907837133062,0.3636121883760159,0.3166747503135651,-0.003982797239081126
2024-10-25 08:00:00,1.08212,1.08368,1.08131,1.08235,12075,11,0,2719.41,0.00039800912697974926,1.7211393326097033,0.002582431321356049,-0.0009939087695729465,0.2808272228198904,0.3585118176618621,0.31744125774217646,-0.007152245345016461
2024-10-25 12:00:00,1.08235,1.0839,1.0820400000000001,1.0838,10275,11,0,2731.42,0.0003967899480856112,0.9713714201016399,-0.0030767215919311752,-0.0006723932955395598,0.2904904346575924,0.35386217281385846,0.3182672121299236,-0.0008011384213549855
2024-10-25 16:00:00,1.0838,1.08383,1.08018,1.08045,15593,11,0,2739.18,0.00039444286246248874,-0.2977688053473756,-0.005931989294283513,-0.0002726190567672982,0.3579716905914129,0.3663755610172517,0.31987080335836043,0.0012318106886077818
2024-10-25 20:00:00,1.08045,1.08061,1.07924,1.07955,10214,11,0,2746.31,0.0003930910931395218,-0.9703401959188503,-0.003435955027402904,0.00014571830834065865,0.3444563113245702,0.3338031610120609,0.32223466380972976,0.005072370949148253
